,INCIDENT_DATE,AIRPORT_ID,AIRPORT,ATYPE,TYPE_ENG,SPECIES,DAMAGE,NUM_ENGS,TIME_OF_DAY,ENROUTE,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED
5780,2011-09-16,KSMF,SACRAMENTO INTL,B-737-300,Turbofan,Unknown bird - small,None,2.0,Day,,,0.0,120.0,0.0,Take-off run,No Cloud,None,2 to 10,2 to 10,Small,Y
5781,2011-09-16,KSFO,SAN FRANCISCO INTL ARPT,A-320,Turbofan,Western sandpiper,None,2.0,Dusk,,,0.0,100.0,0.0,Landing Roll,No Cloud,None,2 to 10,2 to 10,Small,
5782,2011-09-15,KSCK,STOCKTON METRO,MD-83,Turbofan,Turkey vulture,,2.0,Day,,,0.0,,0.0,Take-off run,No Cloud,None,,1,Large,
5783,2011-09-15,KSMF,SACRAMENTO INTL,A-320,Turbofan,Barn swallow,None,2.0,Day,,,0.0,140.0,0.0,Landing Roll,No Cloud,None,2 to 10,2 to 10,Small,Y
5784,2011-09-14,KLAX,LOS ANGELES INTL,EMB-190,Turbofan,Barn swallow,None,2.0,Day,,,,,10.0,Approach,No Cloud,None,,1,Small,N
5785,2011-09-14,KONT,ONTARIO INTL ARPT,MD-11,Turbofan,Unknown bird - medium,None,3.0,Night,,,0.0,180.0,0.0,Take-off run,,,1,1,Medium,Y
5786,2011-09-14,KSTS,CHARLES M. SCHULZ-SONOMA COUNTY ARPT,C-172,Reciprocating,Unknown bird,None,1.0,Night,,,850.0,85.0,,Approach,No Cloud,None,2 to 10,1,,N
5787,2011-09-14,KLAX,LOS ANGELES INTL,B-777-200,Turbofan,Barn owl,None,2.0,Night,,,0.0,,0.0,Landing Roll,Some Cloud,None,,1,Small,
5788,2011-09-13,KFAT,FRESNO YOSEMITE INTL,B-727-200,Turbofan,American kestrel,None,3.0,Day,,,10.0,140.0,0.0,Approach,No Cloud,None,,1,Small,N
5789,2011-09-12,KSNA,JOHN WAYNE-ORANGE COUNTY ARPT,B-737-700,Turbofan,Red-tailed hawk,None,2.0,Day,,,0.0,,0.0,Landing Roll,No Cloud,None,1,1,Medium,
5790,2011-09-12,KSAN,SAN DIEGO INTL,B-737-300,Turbofan,Unknown bird - small,None,2.0,Day,,,300.0,140.0,1.0,Approach,No Cloud,None,1,1,Small,Y
5791,2011-09-12,KTLR,MEFFORD FIELD ARPT,PA-28,Reciprocating,American crow,None,1.0,Dawn,,,500.0,70.0,,Climb,No Cloud,None,11 to 100,1,Medium,N
5792,2011-09-11,KVNY,VAN NUYS ARPT,DA-2000,Turbofan,Rock pigeon,None,2.0,Day,,,0.0,,0.0,Take-off run,Overcast,None,2 to 10,1,Small,N
5793,2011-09-11,KVNY,VAN NUYS ARPT,UNKNOWN,,American kestrel,,,,,,,,0.0,,,,,1,Small,
5794,2011-09-11,KRIV,MARCH ARB ARPT,UNKNOWN,,Horned lark,None,,,,,40.0,,,Landing,,,,,Small,
5795,2011-09-10,KBUR,BOB HOPE ARPT,CRJ100/200,Turbofan,Rock pigeon,None,2.0,Day,,,0.0,,0.0,Parked,Some Cloud,None,,1,Small,N
5796,2011-09-10,KSFO,SAN FRANCISCO INTL ARPT,UNKNOWN,,Double-crested cormorant,,,,,,,,0.0,,,,,1,Large,
5797,2011-09-10,KONT,ONTARIO INTL ARPT,CRJ700,Turbofan,Red-tailed hawk,Minor,2.0,Day,,,300.0,,,Approach,Overcast,None,2 to 10,1,Medium,N
